bottle,variety,country,description,designation,points,price,province,region_1,region_2,winery,taster_name,taster_twitter_handle
Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Muscat,Australia,"This wine contains some material over 100 years old, but shows no signs of fragility. Instead, it's concentrated through age and should hold in the bottle indefinitely. It's dark coffee-brown in color, with delectable aromas of rancio, dried fig, molasses and black tea, yet despite enormous concentration avoids excessive weight. And it's amazingly complex and fresh on the nearly endless finish.",Rare,100,350,Victoria,Rutherglen,[EMPTY],Chambers Rosewood Vineyards,Joe Czerwinski,@JoeCz
Avignonesi 1995 Occhio di Pernice  (Vin Santo di Montepulciano),Prugnolo Gentile,Italy,"Thick as molasses and dark as caramelized brown sugar, the wine oozes out of the bottle releasing concentrated aromas of butterscotch, toffee, honey, licorice, coffee, resin and maple syrup. Grapes from the Montepulciano area are dried in a ventilated room and the wine ages over 10 years in tiny oak barrels resulting in thick, dark concentration. Don't pair it with food: Vin Santo as good as this deserves to be enjoyed alone, as a so-called “meditation wine.”",Occhio di Pernice,100,210,Tuscany,Vin Santo di Montepulciano,[EMPTY],Avignonesi,[EMPTY],[EMPTY]
Krug 2002 Brut  (Champagne),Champagne Blend,France,"This is a fabulous wine from the greatest Champagne vintage so far this century. Still young, it blends almost equal amounts of Pinot Noir and Chardonnay fleshed out with Pinot Meunier. The minerality and the rich apple and green fruits are balanced, and acidity cuts into the wine with a pure, perfumed line of freshness. The wine could be drunk now, but it will age well into the the 2020s.",Brut,100,259,Champagne,Champagne,[EMPTY],Krug,Roger Voss,@vossroger
Tenuta dell'Ornellaia 2007 Masseto Merlot (Toscana),Merlot,Italy,"A perfect wine from a classic vintage, the 2007 Masseto (100% Merlot from a 17-acre vineyard of the same name) opens with an unabashedly opulent bouquet of delicious blackberry, cherry, chocolate, vanilla, exotic spice and cinnamon. Masseto excels both in terms of quality of fruit and winemaking and delivers plush, velvety tannins and an extra long, supple finish. It will make a special and valuable collection to your cellar.",Masseto,100,460,Tuscany,Toscana,[EMPTY],Tenuta dell'Ornellaia,[EMPTY],[EMPTY]
Casa Ferreirinha 2008 Barca-Velha Red (Douro),Portuguese Red,Portugal,This is the latest release of what has long been regarded as Portugal's iconic wine. And it is magnificent. The last vintage was the 2004 and the wait has now shown to be worthwhile. With its immense span and breadth of flavors and rich structure it is a superb manifestation of the great vineyards of the Douro Superior. Big bold fruits and acidity are matched by the tannins and concentration. Hold this for many years or at least wait until 2022.,Barca-Velha,100,450,Douro,[EMPTY],[EMPTY],Casa Ferreirinha,Roger Voss,@vossroger
Biondi Santi 2010 Riserva  (Brunello di Montalcino),Sangiovese,Italy,"This gorgeous, fragrant wine opens with classic Sangiovese scents of violet, rose, perfumed red berry, new leather and a whiff of baking spice. The elegant, radiant palate delivers crushed Marasca cherry, ripe strawberry, cinnamon, black tea and a hint of pipe tobacco. Firm, ultrafine tannins and bright acidity offer an age-worthy structure and impeccable balance. It's already stunning but will evolve for decades. Drink 2020–2050.",Riserva,100,550,Tuscany,Brunello di Montalcino,[EMPTY],Biondi Santi,Kerin O’Keefe,@kerinokeefe
Cardinale 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,US,"Tasted in a flight of great and famous Napa wines, this Cardinale stood at the head of the pack. Starts with a very fine nose of cedar, cassis, ripe blackberries and violets, then turns dramatic and refined in the mouth. Shows vast depth and length, with the finish a full minute of sweet fruits and spices. Marvelous tannins, so plush and elegant, so powerful yet refined. The grapes hail from Mt. Veeder, Howell Mountain, Stags Leap and Oakville, and the blend contains 14% Merlot. As good as it is now, it will improve for at least eight years.",[EMPTY],100,200,California,Napa Valley,Napa,Cardinale,[EMPTY],[EMPTY]
Château Léoville Barton 2010  Saint-Julien,Bordeaux-style Red Blend,France,"This is a magnificently solid wine, initially even a bit severe. At this young stage, the tannins dominate, but it's also full of black fruit notes. Very dense and concentrated, this is a wine that's even better than the legendary 2005. The structure tells of its extraordinary aging potential: don't even attempt to drink this for 10 years.",[EMPTY],100,150,Bordeaux,Saint-Julien,[EMPTY],Château Léoville Barton,Roger Voss,@vossroger
Louis Roederer 2008 Cristal Vintage Brut  (Champagne),Champagne Blend,France,"This latest incarnation of the famous brand is a superb wine. It is on par with, maybe even better than, the already legendary 2002. Its balance is impeccable: Apple and citrus flavors working with the tight minerality to give a textured yet fruity wine. Produced from Roederer's own vineyards which are mainly biodynamic, the wine has its own intense purity and crispness. It has amazing potential and is likely to age for many years. Drink from 2020.",Cristal Vintage Brut,100,250,Champagne,Champagne,[EMPTY],Louis Roederer,Roger Voss,@vossroger
Salon 2006 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,France,"This new release from a great vintage for Chardonnay in Champagne is a perfect blanc de blancs, showing a wealth of intensity from the crisp, chalky, mineral tones to the perfumed apple notes. The aromas hint at developing toastiness that adds depth and complexity. The wine is still young and it will age for years. Drink from 2020.",Le Mesnil Blanc de Blancs Brut,100,617,Champagne,Champagne,[EMPTY],Salon,Roger Voss,@vossroger
